Driver,DriverNumber,LapNumber,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Stint,Compound,TyreLife,FreshTyre,PitInTime,PitOutTime,TrackStatus,Position,Deleted
PER,11,13.0,117.624,51.896,41.803,23.925,2.0,HARD,1.0,True,,4799.484,1,8.0,False
PER,11,14.0,95.606,30.063,41.855,23.688,2.0,HARD,2.0,True,,,1,6.0,False
PER,11,15.0,96.815,30.785,41.795,24.235,2.0,HARD,3.0,True,,,1,3.0,False
PER,11,16.0,95.783,30.569,41.558,23.656,2.0,HARD,4.0,True,,,1,2.0,False
PER,11,17.0,96.454,30.922,41.823,23.709,2.0,HARD,5.0,True,,,1,2.0,False
PER,11,18.0,96.311,30.803,41.835,23.673,2.0,HARD,6.0,True,,,1,2.0,False
PER,11,19.0,96.038,30.702,41.633,23.703,2.0,HARD,7.0,True,,,1,2.0,False
PER,11,20.0,96.278,30.918,41.686,23.674,2.0,HARD,8.0,True,,,1,2.0,False
PER,11,21.0,96.165,30.849,41.61,23.706,2.0,HARD,9.0,True,,,1,2.0,False
PER,11,22.0,96.037,30.824,41.536,23.677,2.0,HARD,10.0,True,,,1,2.0,False
